document,연번,소재지,업태,업종,전화번호,업소명,category,source_file,카페명,경도,순번,위도,상세페이지 링크,주소,음식점명,제목,상세정보,링크,설명,이름,특칭,대주제,중주제,소주제,읍면,경로당명,주 소,설치일자,작품분류,작품명,건축물위치(미술작품 설치장소),체육시설명,시설위치,세부용도,사용승인일,지상,연면적합계(제곱미터),구분,세대수,아파트 단지명,위 치(도로명 주소),동수,지하,건축면적(제곱미터),시군구,시도,사대수,부지면적(제곱미터),소유기관,거리(미터),연면적(제곱미터),면적(제곱미터),사대폭(미터),시설명,관리주체,영업자,설치연도,설치 업체명,시군명,데이터 보관 관리 방식,미세먼지 및 오존 농도값 표출 방식,설치 장소,의료기관종별,의료기관주소(도로명),의료기관전화번호,의료기관명,사무소전화번호,중개업소명,사무소주소(도로명),등록번호,충전소명,이용가능종료시각,충전소위치상세,소재지도로명주소,이용가능시작시각,시도명,관리업체명,관리업체전화번호,충전요금(킬로그램당),참고사항,소재지지번주소,비고,휴점일,시군구명,행정동,관리단체,설치장소,소재지전화,업종명,영업소 주소(도로명),읍면별,인구수,여,남,단체대표,회원수,단체명,기관명,프로그램명,모집정원,상호,시설소재지(주소),현원(명),정원(명),연락처,잡종지_지번수,하천_면적,과수원_지번수,철도용지_지번수,목장용지_지번수,답_면적,도로_면적,철도용지_면적,체육용지_지번수,유지_면적,구거_지번수,유지_지번수,종교용지_지번수,주차장_면적,대_면적,공원_지번수,제방_지번수,주차장_지번수,도로_지번수,사적지_지번수,묘지_면적,공원_면적,과수원_면적,목장용지_면적,광천지_지번수,창고용지_면적,임야_면적,수도용지_면적,하천_지번수,체육용지_면적,양어장_지번수,주유소용지_면적,전_면적,광천지_면적,주유소용지_지번수,염전_면적,유원지_지번수,공장용지_면적,학교용지_지번수,학교용지_면적,전_지번수,묘지_지번수,종교용지_면적,사적지_면적,구거_면적,잡종지_면적,염전_지번수,임야_지번수,공장용지_지번수,토지소재지,양어장_면적,대_지번수,답_지번수,제방_면적,창고용지_지번수,수도용지_지번수,유원지_면적,1일 평균 이용자수,마을회관명,재질,입수연유,명칭,소장구분,소장품번호,주수량,국적_시대,교육시간,과정명,접수기간,교육기간,교육일수,교육장소,교육일
경원해물찜(함안점) (ansim sikdang.csv),11,가야읍 고분길 85,한식,일반음식점,055-583-2841,경원해물찜(함안점),ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
느티나무 (ansim sikdang.csv),12,가야읍 도항1길 46-4,한식,일반음식점,055-582-7889,느티나무,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가야정 (ansim sikdang.csv),13,가야읍 말산2길 29,한식,일반음식점,055-582-5296,가야정,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아라곰탕 (ansim sikdang.csv),14,가야읍 말산로 101,한식,일반음식점,055-582-6466,아라곰탕,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가야숯불구이 (ansim sikdang.csv),15,가야읍 말산로 15,한식,일반음식점,055-583-8878,가야숯불구이,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
검암산천 생고기 (ansim sikdang.csv),16,가야읍 중검길 75,한식,일반음식점,055-585-9848,검암산천 생고기,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕분이오 (ansim sikdang.csv),17,가야읍 삼봉로 507-12,한식,일반음식점,055-582-5233,덕분이오,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아라풍천민물장어 (ansim sikdang.csv),18,"가야읍 삼봉로 521-4, 1층",한식,일반음식점,055-583-0092,아라풍천민물장어,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함안어탕 (ansim sikdang.csv),19,가야읍 삼봉로 589,한식,일반음식점,055-583-1911,함안어탕,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쾌지나 칭칭 (ansim sikdang.csv),20,가야읍 새터길 168-2,한식,일반음식점,055-585-3777,쾌지나 칭칭,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
큰섬 (ansim sikdang.csv),21,"가야읍 성내남길 192, 4층,5층 501호",일식,일반음식점,055-585-5810,큰섬,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명품진국등심해장국 (ansim sikdang.csv),22,"가야읍 성내남길 203, 1층",한식,일반음식점,055-585-6735,명품진국등심해장국,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강촌 (ansim sikdang.csv),23,"가야읍 성내남길 31-19, 1층",한식,일반음식점,055-584-2266,강촌,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스토브(STOVE) (ansim sikdang.csv),24,가야읍 성내남길 31-20,양식,일반음식점,055-582-4546,스토브(STOVE),ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진미식당 (ansim sikdang.csv),25,가야읍 성내남길 32-12,한식,일반음식점,055-583-8471,진미식당,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
샤브향 함안점 (ansim sikdang.csv),26,"가야읍 성내남길 7-8, 1층",한식,일반음식점,055-582-3388,샤브향 함안점,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연을 담은 돈까스 (ansim sikdang.csv),27,가야읍 왕궁1길 36,한식,일반음식점,055-585-1270,연을 담은 돈까스,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어만형제 (ansim sikdang.csv),28,가야읍 왕궁1길 36,한식,일반음식점,055-585-4707,어만형제,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가원 (ansim sikdang.csv),29,가야읍 왕궁길 170-21,한식,일반음식점,055-584-5500,가원,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신천유황오리 (ansim sikdang.csv),30,가야읍 왕궁길 186,한식,일반음식점,055-582-5289,신천유황오리,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
음식마을 (ansim sikdang.csv),31,가야읍 장터길 61,한식,일반음식점,055-583-0180,음식마을,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옛날추어탕 (ansim sikdang.csv),32,가야읍 중앙남1길 25-17,한식,일반음식점,055-585-0072,옛날추어탕,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함안지역자활센터(대장금) (ansim sikdang.csv),33,가야읍 중앙남1길 25-9,한식,일반음식점,055-583-9877,함안지역자활센터(대장금),ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
언양석쇠불고기 (ansim sikdang.csv),34,"가야읍 중앙남3길 30, 1층",한식,일반음식점,055-582-0560,언양석쇠불고기,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소풍 (ansim sikdang.csv),35,"가야읍 중앙남3길 40, 1,2층",한식,일반음식점,055-585-8878,소풍,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거북이 식당 (ansim sikdang.csv),36,가야읍 중앙남길 24-29,한식,일반음식점,055-585-9221,거북이 식당,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛소리 (ansim sikdang.csv),37,가야읍 중앙남길 25,한식,일반음식점,0504-0999-3447,맛소리,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
닥치고 떡볶이 (ansim sikdang.csv),38,가야읍 중앙남길 25,분식,일반음식점,055-582-5799,닥치고 떡볶이,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오리한마당 (ansim sikdang.csv),39,가야읍 중앙남길 28,한식,일반음식점,055-584-5288,오리한마당,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
더이스트 (ansim sikdang.csv),40,가야읍 중앙남길 34,기타,일반음식점,055-585-0660,더이스트,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박영순찜전문점 (ansim sikdang.csv),41,가야읍 중앙남길 7,한식,일반음식점,055-585-0866,박영순찜전문점,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울복집 (ansim sikdang.csv),42,가야읍 중앙본길 30,한식,일반음식점,055-585-5432,서울복집,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함안제일숯불갈비 (ansim sikdang.csv),43,가야읍 중앙본길 32,한식,일반음식점,055-583-1911,함안제일숯불갈비,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신라해장국 (ansim sikdang.csv),44,가야읍 중앙본길 37-1,한식,일반음식점,055-583-8848,신라해장국,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
철따라 횟집 (ansim sikdang.csv),45,가야읍 중앙북길 34,한식,일반음식점,055-585-5757,철따라 횟집,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아시랑 국시 (ansim sikdang.csv),46,가야읍 함마대로 1382,한식,일반음식점,055-583-5938,아시랑 국시,ansim sikdang.csv,ansim_sikdang.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
