등록번호,중개업소명,사무소전화번호,사무소주소(도로명)
가-4324-0402,새아라공인중개사사무소,055-583-8971,경상남도 함안군 가야읍 가야로 157 
가-4324-0404,양우공인중개사사무소,055-582-5847,경상남도 함안군 가야읍 중앙남길 23 (가야읍)
가-4324-0410,금동공인중개사사무소,"055-583-4985, 055-582-7988, 055-584-4990",경상남도 함안군 가야읍 함안대로 738 (가야읍)
가-4324-0416,대양공인중개사사무소,055-583-1177,경상남도 함안군 가야읍 함안대로 512 (가야읍)
가-4324-0419,신삼성공인중개사사무소,055-586-1101,경상남도 함안군 칠원읍 운무로 6 (칠원읍)
가-4324-0425,혜성공인중개사사무소,055-586-5885,경상남도 함안군 칠원읍 오곡로 98 (칠원읍)
가-4324-0427,승진공인중개사사무소,055-586-2239,경상남도 함안군 칠서면 삼칠로 273 (칠서면)
가-4324-0432,공단공인중개사사무소,055-584-1441,경상남도 함안군 산인면 함마대로 2367 나동
가-4324-0433,신세계공인중개사사무소,,경상남도 함안군 함안면 함안대로 52 
가-4324-0438,태진공인중개사사무소,055-583-8800,경상남도 함안군 가야읍 함안대로 557 1층
가-4324-0462,만평공인중개사사무소,055-585-8844,경상남도 함안군 칠원읍 삼칠로 188 
가-4324-0465,예성공인중개사사무소,055-585-4578,경상남도 함안군 가야읍 가야12길 3 (가야읍)
가-4324-0473,세진공인중개사사무소,055-585-7772,경상남도 함안군 대산면 대부로 41-5 (대산면)
가-4324-0482,성훈공인중개사사무소,055-584-5855,경상남도 함안군 가야읍 성내남길 32-28 (가야읍)
가-4324-0494,성현부동산공인중개사사무소,055-583-2300,경상남도 함안군 가야읍 하검길 126 
가-4324-0495,새창조부동산중개,055-583-9800,경상남도 함안군 가야읍 성내남길 186 105호(휴니온클래식)
가-4324-0499,대로공인중개사사무소,055-585-8558,경상남도 함안군 가야읍 본동길 113-24 
가-4324-0503,황금알공인중개사사무소,055-587-7766,경상남도 함안군 칠원읍 경남대로 1530-6 
가-4324-0506,미래공인중개사사무소,055-585-3456,경상남도 함안군 가야읍 고분길 3-4 (가야읍)
가-4324-0512,함안애공인중개사사무소,055-583-0310,경상남도 함안군 가야읍 함안대로 639 
가-4324-0514,바른공인중개사사무소,055-587-7776,경상남도 함안군 칠원읍 운무로 251 (칠원읍)
가-4324-0516,태인공인중개사사무소,055-586-3636,경상남도 함안군 칠원읍 원서로 3 
가-4324-0519,올레공인중개사사무소,055-586-7777,경상남도 함안군 칠원읍 오곡로 87 214-101(광려천벽산블루밍2차상가)
가-4324-0525,창조공인중개사사무소,055-583-9922,경상남도 함안군 군북면 함마대로 839 
가-4324-0526,용성공인중개사사무소,055-587-4989,경상남도 함안군 칠서면 삼칠로 1344 
가-4324-0527,대한공인중개사사무소,,경상남도 함안군 칠서면 삼칠로 304 2호
가-4324-0529,BJ산업개발공인중개사사무소,055-587-0048,경상남도 함안군 칠서면 삼칠로 673 
가-4324-0532,부산공인중개사사무소,055-586-8899,경상남도 함안군 칠서면 유성로 12 2층 사무실
48730-2015-00003,제일공인중개사사무소,055-586-3300,경상남도 함안군 대산면 함의로 940-1 
48730-2015-00006,조균배공인중개사사무소,055-584-4588,경상남도 함안군 가야읍 가야로 89-1 
48730-2015-00018,함안부동산114공인중개사사무소,055-585-1114,경상남도 함안군 가야읍 도항1길 13 
48730-2016-00004,안욱준공인중개사사무소,055-585-8011,경상남도 함안군 군북면 지두2길 20 
48730-2016-00005,황금빛공인중개사사무소,,경상남도 함안군 칠원읍 원서로 205-4 101동 103호
48730-2016-00009,멘토링공인중개사사무소,055-584-4949,경상남도 함안군 가야읍 함안대로 730 
48730-2016-00016,대운공인중개사사무소,,경상남도 함안군 군북면 장백로 384 
48730-2016-00017,하만공인중개사사무소,055-586-5943,경상남도 함안군 칠원읍 갈티길 3 
48730-2016-00025,1번지공인중개사사무소,055-586-8989,경상남도 함안군 칠원읍 삼호길 181 1층 107호(상가동)
48730-2016-00026,새함안공인중개사사무소,,경상남도 함안군 가야읍 함안대로 551-1 
48730-2017-00001,신한공인중개사사무소,055-587-0067,경상남도 함안군 칠원읍 호암길 10 상가 215동 106호
48730-2017-00002,현진공인중개사사무소,055-583-0095,경상남도 함안군 가야읍 함안대로 551 
48730-2017-00004,황금공인중개사사무소,055-583-8999,경상남도 함안군 가야읍 가야로 145-1 
48730-2017-00011,채움공인중개사사무소,,경상남도 함안군 가야읍 함안대로 637 
48730-2017-00016,우성공인중개사사무소,055-587-4959,경상남도 함안군 칠서면 칠평로 69 상가 105
48730-2017-00017,오렌지공인중개사사무소,055-587-1100,경상남도 함안군 칠북면 삼칠로 1734 
48730-2017-00020,삼화부동산공인중개사사무소,055-585-3639,경상남도 함안군 군북면 월촌안길 38 
48730-2018-00003,대산부동산중개사무소,055-584-0118,경상남도 함안군 대산면 대산중앙로 186 
48730-2018-00004,대영공인중개사사무소,055-586-0042,경상남도 함안군 칠원읍 운무로 6 102호
48730-2018-00006,새담공인중개사사무소,055-583-9888,경상남도 함안군 가야읍 함마대로 1511 
48730-2018-00008,푸른공인중개사사무소,055-586-5862,경상남도 함안군 칠서면 공단상가3길 75 201호
48730-2018-00009,신만평공인중개사사무소,055-585-7733,경상남도 함안군 칠원읍 삼칠로 188 
48730-2018-00012,소나무부동산공인중개사사무소,055-587-9696,경상남도 함안군 칠원읍 삼칠로 191 
48730-2018-00023,예곡공인중개사사무소,055-585-2525,"경상남도 함안군 칠원읍 운무로 6 , 1층"
48730-2019-00001,하나부동산공인중개사사무소,055-584-0082,경상남도 함안군 군북면 장백로 336 2층
48730-2019-00008,이현공인중개사사무소,055-582-0015,경상남도 함안군 가야읍 가야로 84 
48730-2019-00009,매일공인중개사사무소,055-583-3150,경상남도 함안군 가야읍 도항1길 9-10 
48730-2019-00011,자이공인중개사사무소,055-587-4004,경상남도 함안군 칠원읍 호암길 11 상가2동 102호(광려천메트로자이)
48730-2019-00014,법무사류점철공인중개사사무소,055-585-2700,경상남도 함안군 가야읍 가야로 97 
48730-2019-00015,권미경공인중개사사무소,055-587-3993,경상남도 함안군 칠원읍 구성길 120 
48730-2019-00016,더한공인중개사사무소,055-584-8949,경상남도 함안군 가야읍 함마대로 1382 102-07호
48730-2020-00001,다원공인중개사사무소,055-585-8549,경상남도 함안군 가야읍 가야로 153-1 1층
48730-2020-00003,중앙부동산공인중개사사무소,055-586-5123~4,경상남도 함안군 칠원읍 원서로 16-2 
48730-2020-00004,용마공인중개사사무소,,경상남도 함안군 칠서면 삼칠로 1055-1 
48730-2020-00005,드림공인중개사사무소,055-585-1242,경상남도 함안군 가야읍 가야로 190 
48730-2020-00007,조현성공인중개사사무소,055-585-6697,경상남도 함안군 산인면 가야로 233 
48730-2020-00012,스마일공인중개사사무소,055-585-5559,경상남도 함안군 가야읍 말산로 22 103호
48730-2020-00018,함안땅공인중개사사무소,,경상남도 함안군 산인면 송산로 168 
48730-2021-00001,성지공인중개사사무소,,경상남도 함안군 가야읍 가야로 94 2층
48730-2021-00008,신태산공인중개사사무소,,경상남도 함안군 칠서면 유성로 24-1 
48730-2021-00010,신경남부동산중개사무소,055-586-7896,경상남도 함안군 칠원읍 용산2길 65 1층
48730-2021-00012,부경공인중개사사무소,055-585-8580,경상남도 함안군 대산면 대산중앙4길 74 2층
48730-2021-00013,남일공인중개사사무소,,경상남도 함안군 군북면 삼봉로 146 
48730-2021-00014,서마지기공인중개사사무소,055-585-8949,경상남도 함안군 가야읍 함안대로 551-1 
48730-2022-00001,신대산공인중개사사무소,,경상남도 함안군 대산면 대산중앙로 186 
48730-2022-00002,태양공인중개사사무소,055-296-6244,경상남도 함안군 가야읍 중앙남3길 34-3 
48730-2022-00005,까치부동산공인중개사사무소,055-587-1119,경상남도 함안군 칠원읍 경남대로 1771 
48730-2022-00006,비전공인중개사사무소,055-587-8554,경상남도 함안군 칠원읍 삼칠로 132 
48730-2022-00007,부성부동산중개사무소,055-585-8294,경상남도 함안군 가야읍 남경길 32 601호
48730-2022-00008,국민공인중개사사무소,055-583-6200,경상남도 함안군 대산면 대산중앙로 194 
48730-2022-00010,유창부동산중개사무소,,경상남도 함안군 가야읍 말산로 28 103호 (아람데파트)
48730-2023-00001,금조공인중개사사무소,055-582-4585,경상남도 함안군 산인면 입곡공원길 349 2층
48730-2023-00002,두레박 공인중개사사무소,055-582-8181,경상남도 함안군 가야읍 말산로 28 1차 103호
48730-2023-00004,칠북공인중개사사무소,055-586-4511,경상남도 함안군 칠북면 단내로 35 
48730-2023-00005,상범공인중개사사무소,,경상남도 함안군 산인면 함마대로 2195 
48730-2023-00006,태함공인중개사사무소,055-582-8081,경상남도 함안군 가야읍 중앙남1길 30 
48730-2023-00008,석주공인중개사사무소,,경상남도 함안군 군북면 장백로 325 
48730-2024-00001,태산공인중개사사무소,055-582-5020,경상남도 함안군 가야읍 가야로 120 
48730-2024-00002,리치부동산공인중개사사무소,,경상남도 함안군 가야읍 함안대로 566 2층
48730-2024-00003,우리들부동산공인중개사사무소,055-586-5305,경상남도 함안군 칠원읍 갈티길 18-3 대동상가 105호
48730-2024-00004,경남114부동산중개,055-586-5303,경상남도 함안군 칠원읍 갈티길 18-3 대동상가 105호
48730-2024-00005,팔팔 공인중개사사무소,055-586-5700,경상남도 함안군 칠원읍 경남대로 1530-6 
